Date,Price,Total Exchange Balance,Inflows,Outflows,Netflows
2023-09-05,25776.0931954926,3265560.882248561,4308.1268679443165,-3832.8133832794383,150.89581315757815
2023-09-06,25755.844925776,3263954.1061616507,4201.3017318353595,-3832.72088527548,175.0015087653102
2023-09-07,26215.697676474,3265006.208547019,4103.079269849005,-3710.47032070178,206.28029575133684
2023-09-08,25903.4558171567,3258359.564329531,4017.0042868684063,-4094.345548830331,209.9735997445804
2023-09-09,25894.3716789264,3258670.3030350017,3886.2135898998454,-3942.282854032978,207.84443287303608
2023-09-10,25841.8915371782,3258086.9786486006,3740.5769946865234,-3876.5966003041117,203.9478152887854
2023-09-11,25131.8536107488,3257561.637906768,3868.359014768093,-3984.6000294665023,193.21112292286594
2023-09-12,25851.2382753878,3255951.010164509,3801.982036931551,-3992.2488334674063,199.0971478516269
2023-09-13,26230.4112960061,3254328.205691548,3666.152779914782,-3891.382088212243,223.17955983394654
2023-09-14,26536.0822077804,3256471.84618908,3797.2972198464668,-3900.008541088763,222.4574911933021
2023-09-15,26647.2234097979,3267061.8219313878,4596.200725713369,-3988.73290938551,209.95772167370123
2023-09-16,26560.6818264789,3267396.571820751,4592.5825820304735,-4005.36262750048,198.11905273288224
2023-09-17,26527.9355736059,3268048.5162174604,4451.646541481112,-3844.578290805782,195.90562707097502
2023-09-18,26750.8306586876,3267274.33378832,4466.511843819036,-3921.593638464731,191.37849534090918
2023-09-19,27225.1652880122,3266626.7229882707,4400.450761483773,-3940.967823156416,190.24774203108635
2023-09-20,27130.3198936111,3262556.985892151,4261.820546647529,-4155.358943949994,171.52493889806195
2023-09-21,26565.4443305877,3264205.0815641214,4190.749656009689,-3966.8391153606563,159.4750525767627
2023-09-22,26580.948241166,3268097.62259198,4292.270365225707,-3823.7177920959466,198.46746936902605
2023-09-23,26579.7118609358,3266919.574200649,4086.054683453325,-3749.342174620887,226.52331029513834
2023-09-24,26251.9400012604,3267977.48312718,3944.885039959107,-3557.0927699468284,263.9384442687003
2023-09-25,26301.8478092495,3265784.64781766,3916.9318125798295,-3709.114714536367,287.08545232169126
2023-09-26,26207.0988402769,3270430.39784214,4106.835104483175,-3591.155811343944,337.51017301276886
2023-09-27,26351.9237997275,3270709.4148247787,4275.6722976962965,-3679.503825257015,396.1814430653934
2023-09-28,27020.0201195083,3250661.5503140995,4130.513225141213,-4970.146951576548,343.5441284087479
2023-09-29,26918.0472594945,3247172.9350770903,4098.7574125044675,-5110.989906311453,227.8512491134021
2023-09-30,26969.662422276,3245956.7544811806,4112.6474675815025,-5071.4098348620155,117.42394041265179
2023-10-01,27971.7200796628,3248392.1107053994,4138.090184019401,-4901.711311866547,19.51755623247516
2023-10-02,27615.8109222834,3251876.6343672,4556.428339755442,-5042.03981495945,-54.09170666454709
2023-10-03,27442.0484635127,3251375.0838078004,4415.006233103079,-4877.7469805868195,-119.9648270796254
2023-10-04,27793.8355959913,3251767.7522523897,4454.35759994621,-4921.3244012916975,-160.92399879698414
2023-10-05,27435.1378448644,3250379.491689339,4400.465865429791,-4856.998917555583,-209.52711256661442
2023-10-06,27945.9233719191,3245871.3314570477,4229.156885899805,-4953.798416703208,-294.75526284755455
2023-10-07,27972.8616832872,3255767.247888821,4748.789943678484,-4767.994276976996,-320.17789442833663
2023-10-08,27946.9408191196,3256349.5319047403,4578.982625745919,-4581.554402429865,-348.0610406209241
2023-10-09,27589.8725283071,3259881.8576930203,4643.899907682865,-4423.3451800358725,-347.15120993495754
2023-10-10,27391.3405159958,3257805.0381879117,4533.370792029339,-4501.7076798994885,-381.72379429277044
2023-10-11,26839.4634565126,3269349.294410031,5225.689565156047,-4328.246912360185,-360.204209981586
2023-10-12,26740.6222791905,3274421.44278482,5342.9990762183115,-4265.849375289506,-223.29110802700453
2023-10-13,26846.4089605135,3275193.1970121,5226.3896468850935,-4169.666310866205,-75.50854875372787
2023-10-14,26863.172256085,3274929.73265179,5068.5428341167535,-4078.565344519794,63.68715530894869
2023-10-15,27147.7227567254,3273420.7526777885,4866.629466647634,-3953.582474623806,183.44916387116115
2023-10-16,28525.7121658639,3265059.166157488,4765.4833063897895,-4478.145215187545,238.6598471858935
2023-10-17,28418.9494449073,3271946.7454491304,5469.396134987137,-4747.37529708905,323.285674713167
2023-10-18,28329.0609562546,3258828.682639161,5691.319554683996,-5481.17762664378,371.65058395500296
2023-10-19,28706.1628299467,3252636.4440335096,5474.540832795731,-6011.550940334863,365.9022228540501
2023-10-20,29681.5310015572,3264266.678415221,6326.310132043349,-6036.370606965872,438.3722982741128
2023-10-21,29910.6982115522,3266735.460234529,6196.300578185793,-5755.638233492811,471.2199181306479
2023-10-22,29976.4814093799,3267861.85020886,6155.6746763427445,-5463.963823007292,520.811534560605
2023-10-23,32960.9031300207,3256905.8927703192,6228.191395698563,-6257.0584284881415,502.99569452942126
2023-10-24,33832.9215678228,3258841.460966129,6935.364572373328,-6794.535923256271,510.79323288565024
2023-10-25,34470.461305634,3261949.3600922674,6985.6521439097705,-6584.505462991187,475.3435206087018
2023-10-26,34168.1992300833,3263957.4758388,6838.79313744512,-6432.695185485773,427.41125282516896
2023-10-27,33916.7642368565,3262529.38031909,6674.380623054109,-6378.362235872725,373.07518505106145
2023-10-28,34097.5290899961,3264569.15993155,6510.030207963169,-6067.827739096539,333.948397856038
2023-10-29,34551.3650387274,3266166.9466773006,6307.985440762289,-5792.1440201034375,305.5765713299681
2023-10-30,34497.3037052442,3266744.6751810224,6197.494344586805,-5665.793785057205,323.03103335335055
2023-10-31,34653.6842729529,3267366.3534894884,6110.716310124352,-5521.283900665391,313.5604313219843
2023-11-01,35421.1309038313,3267384.7764434395,5942.943138482065,-5379.284692723693,338.8116111589953
2023-11-02,34934.7416820697,3268658.3580309,5770.065005960587,-5218.30501742212,416.5809037359666
2023-11-03,34740.1173306426,3261741.940180527,5600.0436525438845,-5522.762186599312,401.39104236933053
2023-11-04,35070.0478456889,3262227.82515484,5328.716294559624,-5227.461261390693,377.1476629747555
2023-11-05,35053.76045609,3262778.0290916897,5114.297571424317,-4982.245944676646,337.1720039327711
2023-11-06,35032.6453205807,3264571.7712902776,5095.821574076034,-4827.257242538871,358.4171013846812
2023-11-07,35448.2806676018,3273080.3855807288,5605.835285064297,-4774.600956266284,407.7317927904638
2023-11-08,35708.9365763642,3271427.8917788668,5714.975581734014,-4898.809794979866,437.3760146358612
2023-11-09,36718.2999658518,3271522.8324322808,5705.490449774409,-4975.586338576537,460.50502601004166
2023-11-10,37327.7140067953,3277184.96562032,5970.989664794118,-4924.470281806768,514.1122399961821
2023-11-11,37128.8108883206,3279295.9819954,6007.482403069844,-4894.196553942983,562.046767157627
2023-11-12,37057.8000758565,3278953.22973592,5684.175226043853,-4707.625250824118,594.954521054833
2023-11-13,36534.6332410215,3277865.2571380674,5417.647270572262,-4640.665466890517,612.4746099228433
2023-11-14,35534.1172334461,3297093.7549388194,6706.413848556121,-4543.93097840315,724.8353571152725
2023-11-15,37964.8928323147,3297191.7016328587,6707.363347164379,-4712.976222085602,827.0302627810156
2023-11-16,36208.8007371058,3292209.4695463595,6383.143902824089,-4907.004725183898,893.0573477168529
2023-11-17,36549.8505906689,3290536.7240056894,6482.50121625314,-5219.554353166972,977.7477332269668
2023-11-18,36580.4198914963,3290682.3169628587,6211.511662747602,-4969.121726722508,1059.2573691452642
2023-11-19,37420.2440093735,3290303.0160256694,5937.206345633095,-4797.262467822342,1131.249672792627
2023-11-20,37485.7690254478,3290103.9011993594,6030.260633273556,-5094.320669070848,1178.9193608401658
2023-11-21,35969.2471775108,3289328.7671768293,6311.583897431989,-5378.44886567813,1186.197982479869
2023-11-22,37459.0315813038,3289895.4490478984,6438.661221888523,-5500.223067513585,1194.9317230242111
2023-11-23,37289.7765055617,3288514.9003777406,6365.054462977953,-5589.882096905346,1198.1651698009778
2023-11-24,37727.337028466,3286585.75442598,6425.261156874755,-5826.376678657661,1166.1912480316735
2023-11-25,37803.4732110331,3285499.5105527686,6156.456879775774,-5692.780958320479,1119.7905389122757
2023-11-26,37484.8035550384,3282671.6658647,5898.002659202056,-5668.094778381779,1066.4589607408855
2023-11-27,37269.4009872799,3280301.84528471,5921.325423963246,-5825.066107196992,1017.8359259612074
2023-11-28,37793.2165423987,3272963.134219238,5704.214170488362,-6101.819545871199,834.9724798515068
2023-11-29,37827.1841495604,3270280.2464242475,5917.937411178473,-6074.714947868452,681.3178611537382
2023-11-30,37714.6103228717,3272394.737103299,5879.159732498582,-6221.89938813922,551.3979444908217
2023-12-01,38670.5303577682,3273376.777435621,6004.216997828676,-6207.171320938606,446.690716905386
2023-12-02,39476.8592997238,3270976.6485383203,5804.043819658766,-6119.343114381362,335.427200423408
2023-12-03,39944.9090519596,3270697.31609202,5677.780884020174,-5857.949055514605,241.13348261589493
2023-12-04,41968.8995766902,3279093.897309957,6224.491529014835,-5691.276407880299,212.36742239673967
2023-12-05,44139.7146093222,3271126.1967414506,6154.370850661846,-6209.083442170278,141.80687787800454
2023-12-06,43728.4368629685,3282841.353009629,6687.658571459724,-6017.239905655592,122.66262869437561
2023-12-07,43268.4384833721,3292381.2114897883,7038.865717727069,-5690.2243976325535,163.62469683879766
2023-12-08,44191.7140039497,3298182.141865981,7150.9723460685955,-5536.045088901047,236.19918104954434
2023-12-09,43723.6922369816,3304029.0672317194,7214.242113205365,-5313.248315466308,338.8647436412416
2023-12-10,43764.5810311404,3305373.533794949,6964.197153887664,-5270.838505115889,443.396941352063
